WorkerID,taskID,startTime,endTime,TaskCompletionTime
1,1_M1,1607059459.358552,1607059461.3718889,2.0133368968963623
2,0_M0,1607059457.6815815,1607059461.6834576,4.00187611579895
2,1_M0,1607059459.3581884,1607059462.3801444,3.021955966949463
2,0_R1,1607059461.6852999,1607059462.6881506,1.0028507709503174
1,3_M2,1607059461.6884737,1607059462.694361,1.0058872699737549
2,4_M2,1607059462.1949806,1607059463.1996703,1.0046896934509277
2,3_M1,1607059461.688055,1607059463.689392,2.0013370513916016
1,5_M2,1607059462.9782128,1607059463.9931283,1.0149154663085938
1,5_M0,1607059462.9772618,1607059463.9935298,1.016268014907837
3,6_M1,1607059463.1735904,1607059464.1816764,1.0080859661102295
2,5_M1,1607059462.9777677,1607059464.9812155,2.0034477710723877
2,6_M0,1607059463.171894,1607059465.17976,2.0078659057617188
1,4_M1,1607059462.1946452,1607059465.201636,3.006990909576416
1,2_M0,1607059461.3952131,1607059465.4126325,4.017419338226318
2,0_R0,1607059461.684832,1607059465.686831,4.0019989013671875
2,3_M3,1607059461.6886647,1607059465.6927164,4.004051685333252
1,3_M0,1607059461.68745,1607059465.6934783,4.006028413772583
1,6_M2,1607059464.1756535,1607059466.1801293,2.0044758319854736
3,4_M0,1607059462.1942375,1607059466.1961155,4.001878023147583
3,4_M3,1607059462.1952693,1607059466.2038813,4.0086119174957275
2,1_R0,1607059462.381211,1607059466.384764,4.0035529136657715
2,2_R1,1607059465.4180617,1607059466.4211414,1.0030796527862549
1,5_R1,1607059464.9870079,1607059466.9906266,2.0036187171936035
2,6_M3,1607059464.1761289,1607059467.1802127,3.0040838718414307
3,4_R0,1607059466.204729,1607059467.215352,1.0106229782104492
1,3_R1,1607059465.6953692,1607059467.698195,2.0028257369995117
2,7_M0,1607059465.751692,1607059467.7560308,2.0043387413024902
1,7_M1,1607059465.752249,1607059467.7598622,2.007613182067871
3,7_M3,1607059465.7527454,1607059467.76298,2.0102345943450928
1,4_R1,1607059466.2067444,1607059468.2105756,2.003831148147583
2,3_R0,1607059465.6947079,1607059468.696662,3.0019540786743164
2,7_M2,1607059465.7525709,1607059468.7611456,3.0085747241973877
2,5_R0,1607059464.9859405,1607059468.98878,4.0028395652771
2,6_R0,1607059467.184482,1607059469.21383,2.0293478965759277
1,8_M1,1607059468.2382412,1607059469.244223,1.0059819221496582
1,2_R0,1607059465.4166756,1607059469.4187639,4.002088308334351
1,8_M0,1607059468.2378094,1607059470.2413156,2.0035061836242676
1,9_M0,1607059470.151261,1607059471.1534564,1.0021953582763672
1,10_M0,1607059470.578515,1607059471.5859473,1.007432222366333
2,10_M3,1607059470.5811496,1607059471.5898623,1.0087127685546875
2,7_R0,1607059468.7649212,1607059471.7699535,3.0050323009490967
2,7_R1,1607059468.7658465,1607059471.771846,3.0059995651245117
2,9_R1,1607059471.1572886,1607059472.1633902,1.0061016082763672
2,8_M2,1607059468.2385213,1607059472.2424223,4.00390100479126
2,13_M0,1607059471.2624466,1607059472.2696774,1.0072307586669922
2,10_M1,1607059470.5793257,1607059472.594231,2.0149052143096924
1,9_R0,1607059471.1560214,1607059473.159707,2.003685712814331
3,12_M0,1607059471.209825,1607059473.2267485,2.016923427581787
2,13_M2,1607059472.2648141,1607059473.2685676,1.003753423690796
3,13_M1,1607059471.2628767,1607059473.2817702,2.0188934803009033
1,10_M2,1607059470.5808582,1607059473.5890033,3.0081450939178467
3,11_M0,1607059470.9545507,1607059473.9567714,3.002220630645752
2,14_M1,1607059472.2662468,1607059474.2764184,2.01017165184021
2,16_M0,1607059473.2997313,1607059474.323319,1.023587703704834
2,17_M0,1607059473.3589077,1607059474.3612492,1.0023415088653564
3,18_M0,1607059473.7968926,1607059474.8049257,1.008033037185669
1,11_M1,1607059470.9549544,1607059474.9636552,4.008700847625732
1,12_M1,1607059471.2104,1607059475.213714,4.003313779830933
1,15_M0,1607059472.266723,1607059475.2692125,3.0024895668029785
2,14_M0,1607059472.265844,1607059475.2728148,3.0069706439971924
2,13_R0,1607059473.2853708,1607059475.3140478,2.028676986694336
3,16_M1,1607059473.3000634,1607059475.3158398,2.0157763957977295
1,16_M2,1607059473.3002543,1607059475.3397393,2.039484977722168
1,11_R0,1607059474.9652932,1607059475.971354,1.0060608386993408
1,12_R0,1607059475.2142859,1607059476.2172334,1.0029475688934326
2,8_R0,1607059472.2440205,1607059476.2500718,4.006051301956177
1,16_R1,1607059475.3495522,1607059476.3518918,1.0023396015167236
2,17_R0,1607059474.366529,1607059476.3690445,2.0025155544281006
2,20_M0,1607059476.0450058,1607059477.0492551,1.0042493343353271
3,21_M0,1607059476.0457613,1607059477.0560143,1.0102529525756836
2,22_M1,1607059476.262031,1607059477.2668855,1.004854440689087
2,15_M1,1607059472.2669628,1607059477.3322718,5.065309047698975
1,10_R0,1607059473.5899568,1607059477.595876,4.0059192180633545
2,18_R1,1607059474.809555,1607059477.8177905,3.008235454559326
3,19_M0,1607059474.0409634,1607059478.0494103,4.008446931838989
2,20_R0,1607059477.0529332,1607059478.0566754,1.0037422180175781
2,21_R1,1607059477.0589614,1607059478.0695584,1.0105969905853271
1,14_R0,1607059475.2737024,1607059478.275799,3.002096652984619
2,16_R0,1607059475.348505,1607059478.3519754,3.0034704208374023
2,18_R0,1607059474.8063889,1607059478.8264894,4.0201005935668945
3,19_M1,1607059475.0423005,1607059479.052291,4.009990453720093
1,21_R0,1607059477.0572267,1607059479.068406,2.0111794471740723
1,19_M2,1607059476.0436873,1607059480.0514417,4.007754325866699
3,12_R1,1607059477.2175848,1607059480.2206666,3.003081798553467
1,22_M0,1607059476.261687,1607059480.2661932,4.0045061111450195
1,25_M0,1607059478.2674344,1607059480.27227,2.004835605621338
2,23_M0,1607059478.2655694,1607059480.273753,2.008183479309082
2,26_M1,1607059479.2907135,1607059480.3190193,1.0283057689666748
2,15_R0,1607059477.333473,1607059480.342754,3.0092809200286865
1,26_M0,1607059479.2902637,1607059481.3199742,2.029710531234741
2,28_M1,1607059480.7621205,1607059481.7730353,1.0109148025512695
1,22_R1,1607059480.2690716,1607059482.27262,2.0035483837127686
2,23_M1,1607059478.266051,1607059482.2815397,4.015488624572754
2,24_M0,1607059478.2668457,1607059482.2857559,4.01891016960144
3,26_M2,1607059479.2909656,1607059482.3281171,3.037151575088501
2,27_M0,1607059480.508529,1607059482.5175707,2.0090417861938477
1,29_M0,1607059480.9855297,1607059482.9875793,2.002049684524536
1,19_R0,1607059480.0544147,1607059483.060846,3.0064313411712646
1,19_R1,1607059480.0565777,1607059483.0628605,3.0062828063964844
3,22_R0,1607059480.2683775,1607059483.2712603,3.002882719039917
2,25_M1,1607059478.2677336,1607059483.3106043,5.042870759963989
2,28_M0,1607059480.7617948,1607059483.770092,3.0082972049713135
2,30_M2,1607059482.2530665,1607059484.281429,2.028362512588501
2,24_R1,1607059482.2883687,1607059484.2975447,2.009176015853882
1,25_R0,1607059483.3113713,1607059484.319661,1.0082895755767822
1,30_M1,1607059482.2528267,1607059485.27553,3.0227034091949463
1,23_R0,1607059482.2823658,1607059485.2963955,3.0140297412872314
3,26_R0,1607059482.333054,1607059485.37018,3.037125825881958
2,31_M1,1607059484.3605893,1607059485.3706806,1.0100913047790527
2,28_R0,1607059483.771042,1607059485.7803125,2.009270429611206
1,29_R0,1607059482.988235,1607059485.9922333,3.003998279571533
2,30_M0,1607059482.2525215,1607059486.2564156,4.003894090652466
3,30_M3,1607059482.253233,1607059486.2641244,4.010891437530518
2,24_R0,1607059482.2870138,1607059486.2910993,4.004085540771484
2,26_R1,1607059483.3350692,1607059486.3444319,3.0093626976013184
2,27_R0,1607059482.5186946,1607059486.5252028,4.006508111953735
1,34_M0,1607059486.160894,1607059487.1675928,1.0066988468170166
1,25_R1,1607059483.3150609,1607059487.3228292,4.007768392562866
3,31_M0,1607059483.3588195,1607059487.3693578,4.010538339614868
1,33_M0,1607059485.3790555,1607059487.4193308,2.0402753353118896
2,36_M0,1607059486.8551095,1607059487.8667412,1.011631727218628
2,36_M1,1607059486.8553536,1607059487.8696299,1.0142762660980225
2,35_M0,1607059486.193355,1607059488.2077749,2.0144197940826416
1,31_M2,1607059484.3610456,1607059488.3648403,4.0037946701049805
2,32_M0,1607059484.3620126,1607059488.3753366,4.013324022293091
1,32_M1,1607059485.37141,1607059488.3878033,3.0163934230804443
2,33_M1,1607059485.379738,1607059488.404165,3.0244269371032715
1,34_R0,1607059487.1681738,1607059489.1711655,2.0029916763305664
2,35_R0,1607059488.2095437,1607059489.2164946,1.006950855255127
3,30_R0,1607059486.266777,1607059489.2743905,3.00761342048645
2,30_R1,1607059486.2672558,1607059489.2749164,3.0076606273651123
2,33_R0,1607059488.405253,1607059489.4087906,1.003537654876709
2,37_M0,1607059489.4816628,1607059490.4918647,1.0102019309997559
1,31_R0,1607059488.3711343,1607059491.3817208,3.0105865001678467
1,31_R1,1607059488.3733294,1607059491.382897,3.0095674991607666
2,36_M2,1607059486.8554966,1607059491.925028,5.069531440734863
2,32_R0,1607059488.388338,1607059492.3997664,4.011428356170654
1,37_M2,1607059489.482573,1607059492.4860055,3.003432512283325
2,37_M3,1607059489.4828618,1607059492.5638506,3.080988883972168
3,38_M1,1607059490.5612502,1607059492.5645075,2.0032572746276855
3,39_M2,1607059491.6025856,1607059492.6254666,1.022881031036377
1,36_R1,1607059491.9306357,1607059492.9359858,1.005350112915039
2,37_M1,1607059489.48223,1607059493.5030468,4.020816802978516
2,38_M0,1607059490.5610347,1607059493.5754972,3.014462471008301
2,36_R0,1607059491.9256043,1607059493.9324129,2.0068085193634033
2,37_R0,1607059493.50373,1607059494.5086105,1.004880428314209
1,38_M2,1607059490.5614848,1607059494.567113,4.0056281089782715
1,39_M0,1607059491.6018822,1607059494.6235745,3.0216922760009766
2,38_M3,1607059490.5616505,1607059494.6259148,4.064264297485352
1,39_M1,1607059491.6022148,1607059494.6281784,3.025963544845581
2,41_M0,1607059494.2543929,1607059495.2601843,1.005791425704956
1,41_M2,1607059494.255199,1607059495.2663035,1.0111045837402344
2,40_M0,1607059493.5923696,1607059495.5990865,2.0067169666290283
2,37_R1,1607059493.5043674,1607059496.513076,3.0087087154388428
1,39_R0,1607059494.629909,1607059496.6517305,2.0218214988708496
1,43_M1,1607059495.6580412,1607059496.6732094,1.0151681900024414
3,43_M3,1607059495.6584618,1607059496.6741729,1.0157110691070557
2,43_M2,1607059495.65829,1607059496.6769261,1.0186362266540527
2,42_M0,1607059494.8223987,1607059496.8513067,2.0289080142974854
3,41_M1,1607059494.254758,1607059497.2866094,3.0318515300750732
2,41_M3,1607059494.2554095,1607059497.287339,3.0319294929504395
1,40_R1,1607059495.6035824,1607059497.6235662,2.0199837684631348
1,42_M1,1607059494.8226693,1607059497.8337903,3.0111210346221924
2,42_M2,1607059494.8228672,1607059497.8420732,3.0192060470581055
2,44_M0,1607059496.9554334,1607059497.9812365,1.0258030891418457
2,40_R0,1607059495.5999694,1607059498.6072786,3.0073091983795166
1,38_R0,1607059494.6276987,1607059498.6336367,4.0059380531311035
2,43_M0,1607059495.6577754,1607059498.6642473,3.006471872329712
3,42_M3,1607059494.8230147,1607059498.83571,4.0126953125
1,45_M2,1607059498.0009308,1607059499.0051427,1.0042119026184082
3,47_M2,1607059498.0025873,1607059499.0104918,1.0079045295715332
2,46_M0,1607059498.0015564,1607059499.0210075,1.0194511413574219
2,43_R0,1607059498.6680367,1607059499.6736996,1.0056629180908203
1,42_R0,1607059498.8371518,1607059499.847819,1.010667324066162
1,44_M1,1607059496.955786,1607059501.0026064,4.046820402145386
3,46_M1,1607059498.001793,1607059501.007853,3.0060601234436035
1,47_M0,1607059498.0021942,1607059501.0100853,3.0078911781311035
2,47_M1,1607059498.0024343,1607059501.0337512,3.0313169956207275
1,45_M0,1607059496.956337,1607059501.0367508,4.080413818359375
2,44_M2,1607059496.955947,1607059501.043655,4.087707996368408
2,41_R0,1607059497.2881663,1607059501.3857327,4.097566366195679
3,49_M0,1607059500.9627578,1607059501.9710999,1.0083420276641846
1,48_M1,1607059499.9821067,1607059501.99242,2.0103132724761963
2,45_M1,1607059496.9564981,1607059502.0083172,5.051819086074829
1,46_R0,1607059501.0087113,1607059502.0207365,1.0120251178741455
2,44_R0,1607059501.046557,1607059502.0570903,1.010533332824707
