WorkerID,taskID,startTime,endTime,TaskCompletionTime
2,0_M0,1607057750.101329,1607057751.1033323,1.0020031929016113
1,1_M2,1607057750.2945945,1607057751.2994435,1.0048489570617676
1,0_M2,1607057750.101981,1607057752.128626,2.0266451835632324
2,1_M0,1607057750.294044,1607057752.3295085,2.0354645252227783
1,4_M1,1607057752.8103175,1607057753.8304706,1.0201530456542969
1,0_M1,1607057750.101788,1607057754.1023943,4.000606298446655
2,3_M1,1607057752.143555,1607057754.145033,2.0014779567718506
1,3_M0,1607057752.1433225,1607057754.1453683,2.0020458698272705
2,1_M3,1607057750.2947795,1607057754.325181,4.0304014682769775
2,1_M1,1607057750.2944093,1607057754.3374515,4.043042182922363
2,5_M0,1607057753.4584908,1607057754.460659,1.0021681785583496
2,6_M1,1607057753.9648712,1607057754.966922,1.0020508766174316
2,6_M2,1607057753.9650016,1607057754.9725513,1.00754976272583
1,0_R0,1607057754.1027277,1607057755.1122682,1.0095405578613281
3,2_M0,1607057751.3208842,1607057755.3221946,4.001310348510742
2,3_R0,1607057754.1456811,1607057756.1489875,2.0033063888549805
2,2_R0,1607057755.322607,1607057756.3255281,1.0029211044311523
2,5_M2,1607057753.4588833,1607057756.4625301,3.0036468505859375
1,5_M1,1607057753.458722,1607057756.4770057,3.0182836055755615
3,4_M0,1607057752.8101184,1607057756.8342543,4.0241358280181885
1,4_M3,1607057752.810599,1607057756.8453338,4.034734725952148
3,4_M2,1607057752.8104653,1607057756.870123,4.059657573699951
1,1_R0,1607057754.3377993,1607057757.338941,3.0011417865753174
1,5_R0,1607057756.4773817,1607057757.4798653,1.002483606338501
1,4_R1,1607057756.8726656,1607057757.877514,1.0048482418060303
1,6_M0,1607057753.9646943,1607057757.96982,4.0051257610321045
3,8_M0,1607057757.925874,1607057758.9271085,1.001234531402588
1,9_M1,1607057757.9465933,1607057758.9542236,1.0076303482055664
1,6_R0,1607057757.9712217,1607057758.9846454,1.0134236812591553
2,4_R0,1607057756.871622,1607057759.8752346,3.003612518310547
3,5_R1,1607057756.4775896,1607057760.5000644,4.022474765777588
3,7_M1,1607057757.803239,1607057760.8140655,3.010826349258423
2,7_M2,1607057757.8033922,1607057760.814614,3.0112218856811523
1,9_M0,1607057757.9463813,1607057760.9628918,3.016510486602783
1,9_M2,1607057757.9467428,1607057760.9649274,3.0181846618652344
3,10_M0,1607057758.96986,1607057760.976811,2.006950855255127
2,7_M0,1607057757.803032,1607057761.8097067,4.006674766540527
2,12_M0,1607057760.8167963,1607057761.8257315,1.0089352130889893
1,12_M1,1607057760.9630904,1607057762.0002387,1.0371482372283936
2,10_M1,1607057758.9708002,1607057762.0033555,3.032555341720581
2,10_M2,1607057758.971203,1607057762.0039268,3.0327236652374268
1,6_R1,1607057757.9721267,1607057762.0045297,4.032402992248535
1,11_M1,1607057759.9968522,1607057762.0233605,2.026508331298828
3,11_M3,1607057760.8141232,1607057762.8417447,2.0276215076446533
2,8_R0,1607057758.927492,1607057762.9467552,4.01926326751709
1,12_M2,1607057760.966068,1607057762.9877822,2.021714210510254
1,9_M3,1607057757.9468725,1607057763.0010695,5.054197072982788
3,12_M3,1607057760.9770305,1607057763.0671146,2.0900840759277344
2,13_M2,1607057762.0049531,1607057763.0976331,1.0926799774169922
2,11_M0,1607057759.9966571,1607057763.0980265,3.1013693809509277
2,13_M3,1607057762.0050962,1607057763.098272,1.0931758880615234
3,11_M2,1607057760.5001373,1607057763.523025,3.022887706756592
3,14_M1,1607057762.8423214,1607057763.9228432,1.080521821975708
1,13_M1,1607057762.004752,1607057764.0220904,2.017338514328003
2,10_M3,1607057758.971381,1607057764.0224473,5.0510663986206055
3,16_M0,1607057763.0672839,1607057764.0879757,1.0206918716430664
3,9_R0,1607057763.0672185,1607057764.1150153,1.0477967262268066
2,13_M0,1607057761.8102076,1607057764.8382654,3.028057813644409
2,7_R0,1607057761.8103669,1607057764.840488,3.030121088027954
3,17_M0,1607057763.9229958,1607057764.9418323,1.018836498260498
2,15_M0,1607057762.9468143,1607057764.9832702,2.0364558696746826
1,15_M2,1607057763.001131,1607057765.0202134,2.0190823078155518
3,19_M1,1607057764.9419093,1607057765.969603,1.027693748474121
1,15_M1,1607057762.9878292,1607057766.0024505,3.0146212577819824
1,7_R1,1607057762.0015678,1607057766.0262074,4.02463960647583
