WorkerID,taskID,startTime,endTime,TaskCompletionTime
1,0_M0,1607063563.355673,1607063566.3584821,3.0028090476989746
2,0_M1,1607063563.3567016,1607063566.358912,3.0022103786468506
3,0_M2,1607063563.3570762,1607063566.359137,3.002060890197754
2,0_M4,1607063563.3585415,1607063566.3688538,3.01031231880188
1,0_M3,1607063563.3583572,1607063566.3810747,3.0227174758911133
1,1_M1,1607063566.3614945,1607063569.3641882,3.0026936531066895
2,1_M2,1607063566.3616626,1607063569.3646078,3.0029451847076416
1,1_M4,1607063566.361976,1607063569.3702805,3.0083045959472656
3,1_M0,1607063566.3612278,1607063569.385899,3.0246713161468506
2,0_R0,1607063566.3855171,1607063569.3876421,3.0021250247955322
2,0_R3,1607063566.3885753,1607063569.391091,3.0025157928466797
1,0_R2,1607063566.3864417,1607063569.3944924,3.0080506801605225
1,0_R4,1607063566.3910418,1607063569.3948703,3.003828525543213
3,1_M3,1607063566.3618495,1607063569.435702,3.0738525390625
3,0_R1,1607063566.3862114,1607063569.4367511,3.05053973197937
2,2_M0,1607063569.3689892,1607063572.3733907,3.004401445388794
1,2_M1,1607063569.3694391,1607063572.3737576,3.0043184757232666
2,2_M2,1607063569.369668,1607063572.379551,3.009882926940918
2,2_M4,1607063569.3700256,1607063572.380063,3.010037422180176
1,2_M3,1607063569.3698547,1607063572.3806443,3.010789632797241
1,1_R1,1607063569.4488714,1607063572.4517314,3.0028600692749023
3,1_R0,1607063569.4364457,1607063572.4554787,3.0190329551696777
1,1_R4,1607063569.4498322,1607063572.4575772,3.0077450275421143
2,1_R2,1607063569.4492211,1607063572.460887,3.0116658210754395
3,1_R3,1607063569.4495757,1607063572.4616694,3.0120937824249268
1,3_M2,1607063572.3768783,1607063575.3793788,3.002500534057617
3,3_M1,1607063572.3766692,1607063575.383103,3.0064337253570557
2,3_M0,1607063572.3761425,1607063575.3852339,3.009091377258301
1,3_M4,1607063572.3772788,1607063575.3920412,3.0147624015808105
2,3_M3,1607063572.3770845,1607063575.392479,3.015394449234009
2,2_R0,1607063572.3818684,1607063575.3938,3.0119316577911377
2,2_R2,1607063572.3828795,1607063575.394715,3.0118355751037598
1,2_R1,1607063572.3823032,1607063575.3955593,3.013256072998047
3,2_R4,1607063573.4558716,1607063576.4677782,3.011906623840332
2,2_R3,1607063572.3858726,1607063576.4773095,4.091436862945557
1,4_M0,1607063575.3801854,1607063578.383765,3.003579616546631
2,4_M1,1607063575.380388,1607063578.3899853,3.0095973014831543
1,4_M3,1607063575.3807979,1607063578.3939872,3.0131893157958984
2,4_M4,1607063575.380944,1607063578.3946288,3.0136847496032715
3,4_M2,1607063575.380564,1607063578.3957162,3.0151522159576416
3,3_R0,1607063575.3930898,1607063578.3982494,3.005159616470337
1,3_R1,1607063575.3961759,1607063578.3991992,3.003023386001587
2,3_R2,1607063575.39804,1607063578.4023438,3.0043036937713623
1,3_R3,1607063575.399124,1607063578.4032693,3.004145383834839
2,3_R4,1607063575.3995962,1607063578.4054399,3.0058436393737793
2,5_M2,1607063578.38876,1607063581.3915217,3.0027616024017334
3,5_M0,1607063578.3882117,1607063581.3927271,3.0045154094696045
1,5_M1,1607063578.3885548,1607063581.3945985,3.0060436725616455
2,5_M4,1607063578.3890448,1607063581.4008286,3.0117838382720947
1,5_M3,1607063578.3889222,1607063581.4045386,3.0156164169311523
3,4_R0,1607063578.3962586,1607063581.4057164,3.00945782661438
2,4_R2,1607063578.398376,1607063581.4084828,3.0101068019866943
3,4_R3,1607063578.4079716,1607063581.4101515,3.0021798610687256
1,4_R1,1607063578.397549,1607063581.410646,3.013097047805786
1,4_R4,1607063578.4094286,1607063581.4144723,3.0050437450408936
3,6_M1,1607063581.3979406,1607063584.400899,3.002958297729492
1,6_M2,1607063581.3983366,1607063584.4074264,3.009089708328247
2,6_M0,1607063581.3975284,1607063584.4081347,3.010606288909912
1,6_M4,1607063581.4006746,1607063584.408875,3.0082004070281982
3,5_R1,1607063581.4064262,1607063584.4104626,3.0040364265441895
2,6_M3,1607063581.3988364,1607063584.412482,3.013645648956299
1,5_R2,1607063581.4071283,1607063584.4164982,3.0093698501586914
2,5_R0,1607063581.4051917,1607063584.418692,3.013500452041626
2,5_R3,1607063581.4076686,1607063584.4196463,3.0119776725769043
2,5_R4,1607063581.40913,1607063585.4910052,4.0818750858306885
